Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
M7Q,PME_A7_1_268+859_M7Q,268+859,269+359,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.Q,OUI,MM713.Q1
M7R,PME_A7_1_269+326_M7R,269+326,269+826,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.R,OUI,MM713.R1
M7S,PME_A7_1_269+790_M7S,269+790,270+290,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.S,OUI,MM713.S1
M7T,PME_A7_1_270+318_M7T,270+318,270+818,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.T,OUI,MM713.T1
M7U,PME_A7_1_270+833_M7U,270+833,271+333,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.U,OUI,MM713.U1
m7U,PME_A517_1_0+000_m7U,0+000,0+500,1,A517,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm713.U,OUI,Mm713.U1
M7V,PME_A7_1_271+435_M7V,271+435,271+935,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.V,OUI,MM713.V1
M7n,PME_A7_2_267+230_M7n,267+230,267+730,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.n,OUI,MM713.n2
m7n,PME_A552_1_0+500_m7n,0+000,0+500,1,A552,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm713.n,OUI,Mm713.n1
M7o,PME_A7_2_267+861_M7o,267+861,268+361,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.o,OUI,MM713.o2
M7p,PME_A7_2_268+288_M7p,268+288,268+788,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.p,OUI,MM713.p2
