Code PTF Voie,Code PTF Station,N° de voie
BE34EXTVLE_RDTCMA003,EAR1INTBAU_RDTSTC030,3
BE01INTVLE_RDTCMA001,EAR1INTBAU_RDTSTC030,1
A7--INTVRA_RDTCMA007,EAR1INTBAU_RDTSTC030,7
A7--INTVLE_RDTCMA005,EAR1INTBAU_RDTSTC030,5
SMA-INTVRA_RDTCMA011,EAR1INTBAU_RDTSTC030,10
SMA-INTVLE_RDTCMA009,EAR1INTBAU_RDTSTC030,8
SMA-EXTVRA_RDTCMA015,EAR1INTBAU_RDTSTC030,11
SMA-EXTVLE_RDTCMA013,EAR1INTBAU_RDTSTC030,9
A7_2_M8b_VLE,M8b,0
A7_2_M8b_VRA,M8b,2
A7_2_M8b_VMD,M8b,1
A51_2_M1h_VLE,M1h,0
A51_2_M1h_VMD,M1h,1
A51_2_M1h_BAU,M1h,3
A51_2_M1h_VRA,M1h,2
A7_1_M8N_VMD,M8N,1
A7_1_M8N_VLE,M8N,0
A7_1_M8N_VRA,M8N,2
A50_1_M4D_VLE,M4d,0
A50_2_M4d_VLE,M4d,2
A50_1_M4D_VRA,M4d,1
A50_2_M4d_VRA,M4d,3
A50_2_M3y_VRA,M3y,2
A50_2_M3y_VMD,M3y,1
A50_2_M3y_VLE,M3y,0
A7_2_M8h_VRA,M8h,2
A7_2_M8h_VMD,M8h,1
A7_2_M8h_VLE,M8h,0
BS05INTVLE_RDTCMA009,TFO-INTBAU_RDTSTC002,0
SPF-INTVMD_RDTCMA013,TFO-INTBAU_RDTSTC002,4
SPF-INTVLE_RDTCMA011,TFO-INTBAU_RDTSTC002,2
SPF-INTVRA_RDTCMA015,TFO-INTBAU_RDTSTC002,6
A50_2_M3b_VRA,M3b,2
A50_2_M3b_VMD,M3b,1
A50_2_M3b_VLE,M3b,0
A7_1_M8A_VMG,M8A,2
A7_1_M8A_VMD,M8A,1
A7_1_M8A_VLE,M8A,0
A7_1_M8A_VRA,M8A,3
A50_2_M3x_VMD,M3x,1
A50_2_M3x_VLE,M3x,0
A50_2_M3x_VRA,M3x,2
A55_1_m5Y_VLE,M5Y,2
A55_1_M5Y_VRA,M5Y,1
A55_1_m5Y_VRA,M5Y,3
A55_1_M5Y_VLE,M5Y,0
A7_2_M8j_VLE,M8j,0
A7_2_M8j_VRA,M8j,2
A7_2_M8j_VMD,M8j,1
RN113_1_MPH_VRA,MPH,1
RN113_1_MPH_VLE,MPH,0
RN113_2_MPH_VRA,MPH,3
